Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
mercari-15,,,,,,,,,,,,,,,,,,,,,,,,https://esp-1-kend.onrender.com/media/mercari_15_1.jpg,2,NIKE エアジョーダン 1 ハイカットスニーカー,,,,,,,,,,,,,,,,,,,,,
mercari-15,,,,,,,,,,,,,,,,,,,,,,,,https://esp-1-kend.onrender.com/media/mercari_15_2.jpg,3,NIKE エアジョーダン 1 ハイカットスニーカー,,,,,,,,,,,,,,,,,,,,,
mercari-15,,,,,,,,,,,,,,,,,,,,,,,,https://esp-1-kend.onrender.com/media/mercari_15_3.jpg,4,NIKE エアジョーダン 1 ハイカットスニーカー,,,,,,,,,,,,,,,,,,,,,
mercari-15,,,,,,,,,,,,,,,,,,,,,,,,https://esp-1-kend.onrender.com/media/mercari_15_4.jpg,5,NIKE エアジョーダン 1 ハイカットスニーカー,,,,,,,,,,,,,,,,,,,,,
mercari-15,,,,,,,,,,,,,,,,,,,,,,,,https://esp-1-kend.onrender.com/media/mercari_15_5.jpg,6,NIKE エアジョーダン 1 ハイカットスニーカー,,,,,,,,,,,,,,,,,,,,,
mercari-16,adidas　スニーカー　パープル　24センチ,adidas　アディダススニーカー　24㎝<br>　　　　　　　　　　　　　　紫、パープル<br><br>5年程前に新品で購入し、2～3回履き下駄箱に入れたままになっていました。<br>実物より少し青っぽく映ってますが、紫色。<br>目立つ傷汚れはないように思います。<br>かかと(画像10)は初めからの仕様です。<br>(画像11が新品の時)<br>付属の箱、袋は既に処分してありません。<br>何かの箱に入れて発送します。<br><br><br>＊値下げ不可＊<br>カラー...パープル系<br>モデル名...RAF SIMONS<br>　　　　　　× RAF SIMONS モデル名...MATRIX<br>汚れ・破れ等…なし<br>臭いなど...ないと思われる…あれば洗ってください<br>53分前,Mercari,Mercari Item,,false,Title,Default Title,,,,,MER-162324EEEC,,shopify,1,deny,manual,5040,,true,false,,https://esp-1-kend.onrender.com/media/mercari_16_0.jpg,1,adidas　スニーカー　パープル　24センチ,,,,,,,,,,,,,,,,,,,,,draft
mercari-16,,,,,,,,,,,,,,,,,,,,,,,,https://esp-1-kend.onrender.com/media/mercari_16_1.jpg,2,adidas　スニーカー　パープル　24センチ,,,,,,,,,,,,,,,,,,,,,
mercari-16,,,,,,,,,,,,,,,,,,,,,,,,https://esp-1-kend.onrender.com/media/mercari_16_2.jpg,3,adidas　スニーカー　パープル　24センチ,,,,,,,,,,,,,,,,,,,,,
mercari-16,,,,,,,,,,,,,,,,,,,,,,,,https://esp-1-kend.onrender.com/media/mercari_16_3.jpg,4,adidas　スニーカー　パープル　24センチ,,,,,,,,,,,,,,,,,,,,,
mercari-16,,,,,,,,,,,,,,,,,,,,,,,,https://esp-1-kend.onrender.com/media/mercari_16_4.jpg,5,adidas　スニーカー　パープル　24センチ,,,,,,,,,,,,,,,,,,,,,
mercari-16,,,,,,,,,,,,,,,,,,,,,,,,https://esp-1-kend.onrender.com/media/mercari_16_5.jpg,6,adidas　スニーカー　パープル　24センチ,,,,,,,,,,,,,,,,,,,,,
mercari-16,,,,,,,,,,,,,,,,,,,,,,,,https://esp-1-kend.onrender.com/media/mercari_16_6.jpg,7,adidas　スニーカー　パープル　24センチ,,,,,,,,,,,,,,,,,,,,,
mercari-16,,,,,,,,,,,,,,,,,,,,,,,,https://esp-1-kend.onrender.com/media/mercari_16_7.jpg,8,adidas　スニーカー　パープル　24センチ,,,,,,,,,,,,,,,,,,,,,
mercari-16,,,,,,,,,,,,,,,,,,,,,,,,https://esp-1-kend.onrender.com/media/mercari_16_8.jpg,9,adidas　スニーカー　パープル　24センチ,,,,,,,,,,,,,,,,,,,,,
mercari-16,,,,,,,,,,,,,,,,,,,,,,,,https://esp-1-kend.onrender.com/media/mercari_16_9.jpg,10,adidas　スニーカー　パープル　24センチ,,,,,,,,,,,,,,,,,,,,,
mercari-16,,,,,,,,,,,,,,,,,,,,,,,,https://esp-1-kend.onrender.com/media/mercari_16_10.jpg,11,adidas　スニーカー　パープル　24センチ,,,,,,,,,,,,,,,,,,,,,
